排名,片名,导演,编剧,主演,类型,上映日期,片长,豆瓣评分,评价人数,制片地区/国家,语言,又名
No.27,怦然心动 Flipped,罗伯·莱纳,罗伯·莱纳/安德鲁·沙因曼/文德琳·范·德拉安南,玛德琳·卡罗尔/卡兰·麦克奥利菲/瑞贝卡·德·莫妮/安东尼·爱德华兹/约翰·马奥尼/佩内洛普·安·米勒/艾丹·奎因/凯文·韦斯曼/摩根·莉莉/肖恩·哈珀/瑞安·克茨纳/吉莉安·普法夫/迈克尔·博萨/博·勒纳/杰奎琳·埃沃拉/泰勒·格鲁秀斯,剧情/喜剧/爱情,2010-08-06(美国),90分钟(美国),8.9,589102, 美国, 英语, 萌动青春 / 青春萌动 / 冒失 / 梧桐树之恋
No.29,少年派的奇幻漂流 Life of Pi,李安,扬·马特尔/大卫·麦基,苏拉·沙玛/拉菲·斯波/伊尔凡·可汗/热拉尔·德帕迪约/塔布/阿迪勒·侯赛因/阿尤什·坦东/王柏杰/俊·奈托,剧情/奇幻/冒险,2012-11-22(中国大陆),127分钟,9.0,609885, 美国 / 台湾 / 英国 / 加拿大, 英语 / 泰米尔语 / 法语 / 日语 / 印地语 / 汉语普通话, 少年Pi的奇幻漂流 / 漂流少年Pi
No.30,指环王3：王者无敌 The Lord of the Rings: The Return of the King,彼得·杰克逊,弗兰·威尔士/菲利帕·鲍恩斯/彼得·杰克逊/J·R·R·托尔金,维果·莫腾森/伊利亚·伍德/西恩·奥斯汀/丽芙·泰勒/伊恩·麦克莱恩/奥兰多·布鲁姆/凯特·布兰切特/米兰达·奥图/安迪·瑟金斯/雨果·维文/多米尼克·莫纳汉/比利·博伊德/马尔顿·索克斯/卡尔·厄本/克里斯托弗·李/约翰·瑞斯-戴维斯,剧情/动作/奇幻/冒险,2004-03-12(中国大陆),201分钟,9.1,299928, 美国 / 新西兰, 英语 / 昆雅语 / 古英语 / 辛达林语, 魔戒三部曲：王者再临(台/港) / 指环王III：王者无敌 / 魔戒3：王者归来 / 指环王3：国王归来 / 指环王3：皇上回宫(豆友译名)
No.31,鬼子来了,姜文,姜文/史健全/述平/尤凤伟,姜文/香川照之/袁丁/姜宏波/陈强/丛志军/喜子/李海滨/泽田谦也/蔡卫东/陈莲梅/宫路佳具/吴大维/梶冈润一/姜武,剧情/战争,2000-05-12(戛纳电影节),139分钟,9.2,244592, 中国大陆, 汉语普通话 / 日语 / 唐山话, Devils on the Doorstep
No.32,蝙蝠侠：黑暗骑士 The Dark Knight,克里斯托弗·诺兰,乔纳森·诺兰/克里斯托弗·诺兰/大卫·S·高耶,克里斯蒂安·贝尔/希斯·莱杰/艾伦·艾克哈特/迈克尔·凯恩/玛吉·吉伦哈尔/加里·奥德曼/摩根·弗里曼/莫尼克·加布里埃拉·库尔内/罗恩·迪恩/基里安·墨菲/黄经汉/内斯特·卡博内尔/埃里克·罗伯茨/里特奇·科斯特/安东尼·迈克尔·豪尔/基斯·斯扎拉巴基克/柯林·麦克法兰/约书亚·哈尔托/美琳达·麦格劳/内森·甘宝/迈克尔·维约/迈克尔·斯托扬诺夫/威廉·斯米利/丹尼·高德林/迈克尔·加·怀特/马修·奥尼尔/威廉·菲德内尔/欧鲁米基·欧拉乌米/格雷格·比姆/爱利克·赫尔曼/毕崔斯·罗森/文森佐·尼克力/陈冠希,剧情/动作/科幻/惊悚/犯罪,2008-07-14(纽约首映),152分钟,9.0,343932, 美国 / 英国, 英语 / 汉语普通话, 蝙蝠侠前传2：黑暗骑士 / 黑暗骑士(台) / 蝙蝠侠-黑夜之神(港) / 蝙蝠侠6：暗夜骑士 / Batman: The Dark Knight / TDK
No.33,天空之城 天空の城ラピュタ,宫崎骏,宫崎骏,田中真弓/横泽启子/初井言荣/寺田农/常田富士男/永井一郎/糸博/鹫尾真知子/神山卓三/安原义人/槐柳二/鳕子,动画/奇幻/冒险,1992(中国大陆),125分钟,9.0,351163, 日本, 日语, Tenkû no shiro Rapyuta / Laputa: Castle in the Sky
No.34,活着,张艺谋,余华/芦苇,葛优/巩俐/姜武/牛犇/郭涛/张璐/倪大红/肖聪/董飞/刘天池/董立范/黄宗洛/刘燕瑾/李连义/杨同顺,剧情/家庭/历史,1994-05-17(戛纳电影节),132分钟,9.1,287137, 中国大陆 / 香港, 汉语普通话, 人生 / Lifetimes / To Live
No.35,罗马假日 Roman Holiday,威廉·惠勒,达尔顿·特朗勃/伊安·麦克莱伦·亨特/约翰·戴顿,奥黛丽·赫本/格利高里·派克/埃迪·艾伯特/哈特利·鲍尔/哈考特·威廉姆斯,剧情/喜剧/爱情,1953-09-02(美国),118 分钟,8.9,406021, 美国, 英语 / 意大利语 / 德语, 金枝玉叶(港) / 罗马假期(台)
No.36,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,刘镇伟,刘镇伟/吴承恩,周星驰/吴孟达/罗家英/蓝洁瑛/莫文蔚/江约诚/陆树铭/刘镇伟/朱茵/李健仁,喜剧/动作/爱情/奇幻/冒险/古装,2014-10-24(中国大陆),87分钟,8.9,423232, 香港 / 中国大陆, 粤语 / 汉语普通话, 西游记101回月光宝盒 / 齐天大圣东游记 / 大话东游之一 / A Chinese Odyssey Part One - Pandora's Box
No.37,飞屋环游记 Up,彼特·道格特/鲍勃·彼德森,保伯·彼得森/彼特·道格特/汤姆·麦卡锡,爱德华·阿斯纳/克里斯托弗·普卢默/乔丹·长井/鲍勃·彼德森/戴尔里·林多/杰罗姆·兰福特/约翰·拉岑贝格/大卫·卡耶/艾丽·道克特/杰里米·利里/米凯·麦高万/丹尼·曼恩/唐纳德·富利洛夫/杰斯·哈梅尔/乔什·库雷/彼特·道格特,剧情/喜剧/动画/冒险,2009-08-04(中国大陆),96分钟,8.9,525393, 美国, 英语, 冲天救兵(港) / 天外奇迹(台) / 飞屋历险记
