排名,片名,导演,编剧,主演,类型,上映日期,片长,豆瓣评分,评价人数,制片地区/国家,语言,又名
No.58,狮子王 The Lion King,罗杰·阿勒斯/罗伯·明可夫,艾琳·梅琪/乔纳森·罗伯特 /琳达·伍尔芙顿,乔纳森·泰勒·托马斯/马修·布罗德里克/杰瑞米·艾恩斯/詹姆斯·厄尔·琼斯/莫伊拉·凯利/内森·连恩/尼基塔·卡兰姆/埃林·萨贝拉/乌比·戈德堡/罗温·艾金森,剧情/动画/歌舞/家庭/冒险,1995-07-15(中国大陆),89 分钟,8.9,294199, 美国, 英语 / 斯瓦希里语 / 科萨语 / 祖鲁语, 狮子王3D
No.59,七宗罪 Se7en,大卫·芬奇,安德鲁·凯文·沃克,摩根·弗里曼/布拉德·皮特/凯文·史派西/格温妮斯·帕特洛/安德鲁·凯文·沃克/约翰·卡西尼/雷格·E·凯蒂/李·厄米,剧情/悬疑/惊悚/犯罪,1995-09-22(美国),127分钟,8.7,451031, 美国, 英语 / 葡萄牙语, 火线追缉令 / 7宗罪 / Seven
No.60,被嫌弃的松子的一生 嫌われ松子の一生,中岛哲也,中岛哲也/山田宗树,中谷美纪/瑛太/香川照之/市川实日子/伊势谷友介/柄本明/黑泽明日香/荒川良良/柴崎幸/土屋安娜/奥之矢佳奈/谷原章介/武田真治/片平渚/宫藤官九郎/角野卓造/田中要次/木村凯拉/谷中敦/剧团一人,剧情/歌舞,2006-05-27(日本),130 分钟,8.9,300551, 日本, 日语, 花样奇缘(港) / 令人讨厌的松子的一生(台) / 松子被嫌弃的一生 / 松子的悲惨人生 / Kiraware Matsuko no isshô / Memories of Matsuko
No.61,致命魔术 The Prestige,克里斯托弗·诺兰,乔纳森·诺兰/克里斯托弗·诺兰/克里斯托弗·普瑞丝特,克里斯蒂安·贝尔/休·杰克曼/迈克尔·凯恩/斯嘉丽·约翰逊/丽贝卡·豪尔/大卫·鲍伊/安迪·瑟金斯,剧情/悬疑/惊悚,2006-10-20(美国),130分钟,8.8,357866, 美国 / 英国, 英语, 顶尖对决(台) / 死亡魔法(港) / 魔高一丈 / 魔道争锋
No.62,小鞋子 بچههای آسمان,马基德·马基迪,马基德·马基迪,Amir Farrokh Hashemian/默罕默德·阿米尔·纳吉/Bahare Seddiqi/Nafise Jafar-Mohammadi/Fereshte Sarabandi,剧情/家庭/儿童,1997-02(伊朗),89 分钟,9.2,144536, 伊朗, 波斯语, 天堂的孩子 / 小童鞋 / Children of Heaven / Bacheha-Ye aseman
No.63,素媛 소원,李濬益,金智慧/赵重勋,薛耿求/严志媛/李来/金海淑/金相浩/罗美兰/杨真诚,剧情,2013-10-02(韩国),123分钟,9.1,190705, 韩国, 韩语, 许愿 / 希望：为爱重生(台) / So-won / Hope
No.64,勇敢的心 Braveheart,梅尔·吉布森,兰道尔·华莱士,梅尔·吉布森/苏菲·玛索/布莱恩·考克斯/詹姆斯·卡沙莫/辛·劳洛/凯瑟琳·麦克马克/安古斯·麦克菲登,剧情/动作/传记/历史/战争,1995-05-24,177 分钟,8.8,304356, 美国, 英语 / 法语 / 拉丁语 / 苏格兰盖尔语, 惊世未了缘(港) / 梅尔吉勃逊之英雄本色(台)
No.65,剪刀手爱德华 Edward Scissorhands,蒂姆·波顿,卡罗琳·汤普森/蒂姆·波顿,约翰尼·德普/薇诺娜·瑞德/黛安·韦斯特/安东尼·迈克尔·豪尔/凯西·贝克/罗伯特·奥利维里/康查塔·费雷尔/卡罗琳·阿隆/迪克·安东尼·威廉姆斯/澳澜·琼斯/文森特·普莱斯/艾伦·阿金/苏珊·布洛马特/Linda Perri/约翰·戴维森,剧情/爱情/奇幻,1990-12-06(美国),105 分钟,8.7,501715, 美国, 英语, 幻海奇缘(港)
No.66,音乐之声 The Sound of Music,罗伯特·怀斯,恩斯特·莱赫曼,朱莉·安德鲁斯/克里斯托弗·普卢默/埃琳诺·帕克/理查德·海顿/佩吉·伍德/查尔敏·卡尔/希瑟·孟席斯-尤里克/尼古拉斯·哈蒙德/Duane Chase/安吉拉·卡特怀特/Debbie Turner/Kym Karath/安娜·李/Portia Nelson/本·怀特/Daniel Truhitte/诺玛·威登/Gilchrist Stuart/Marni Nixon/Evadne Baker/多丽丝·劳埃德,剧情/爱情/歌舞/家庭/传记,1965-03-02(美国),174分钟,8.9,240542, 美国, 英语, 仙乐飘飘处处闻(港) / 真善美(台) / 一个叛逆修女的故事
No.67,低俗小说 Pulp Fiction,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺/罗杰·阿夫瑞,约翰·特拉沃尔塔/乌玛·瑟曼/阿曼达·普拉莫/蒂姆·罗斯/塞缪尔·杰克逊/菲尔·拉马/布鲁斯·威利斯/弗兰克·威利/布尔·斯蒂尔斯/文·瑞姆斯/劳拉·拉芙蕾丝/保罗·考尔德伦/布罗娜·加拉赫/罗姗娜·阿奎特/埃里克·斯托尔兹/玛丽亚·德·梅黛洛,剧情/喜剧/犯罪,1994-05-12(戛纳电影节),154分钟,8.8,347632, 美国, 英语 / 西班牙语 / 法语, 黑色追緝令(台) / 危险人物(港) / 黑色追击令 / 低级趣味小说
No.68,本杰明·巴顿奇事 The Curious Case of Benjamin Button,大卫·芬奇,艾瑞克·罗斯/罗宾·史威考德/F·司各特·菲茨杰拉德,凯特·布兰切特/布拉德·皮特/朱莉娅·奥蒙德/芳妮·A·钱勃丝/伊莱亚斯·科泰斯/杰森·弗莱明/大卫·詹森/蒂尔达·斯文顿/艾丽·范宁/Joeanna Sayler/乔什·斯图沃特/丹尼·文森/塔拉吉·P·汉森/马赫沙拉·阿里/Fiona Hale/唐娜·杜普兰提尔/兰斯·E·尼克尔斯/Ted Manson/Clay Cullen/菲利斯·萨莫维尔/杰瑞德·哈里斯/麦迪逊·贝蒂/汤姆·埃沃雷特/Christopher Maxwell/伊利亚·沃里克,剧情/爱情/奇幻,2008-12-25(美国),166分钟,8.7,407939, 美国, 英语 / 俄语 / 法语, 奇幻逆缘(港) / 返老还童 / 班杰明的奇幻旅程
No.69,黑客帝国 The Matrix,莉莉·沃卓斯基/拉娜·沃卓斯基,莉莉·沃卓斯基/拉娜·沃卓斯基,基努·里维斯/凯瑞-安·莫斯/劳伦斯·菲什伯恩/雨果·维文/格洛丽亚·福斯特/乔·潘托里亚诺/马库斯·钟/朱利安·阿拉汗加/马特·多兰,动作/科幻,1999-03-31(美国),136分钟,8.8,291975, 美国 / 澳大利亚, 英语, 廿二世纪杀人网络(港) / 骇客任务(台)
No.70,西西里的美丽传说 Malèna,朱塞佩·托纳多雷,朱塞佩·托纳多雷/卢恰诺·温琴佐尼,莫妮卡·贝鲁奇/朱塞佩·苏尔法罗/Luciano Federico/Matilde Piana/埃丽萨·莫鲁奇,剧情/情色/战争,2000-10-27(意大利),109 分钟,8.7,363590, 意大利 / 美国, 意大利语 / 英语 / 拉丁语 / 古希腊语, 真爱伴我行(台) / 玛莲娜 / 玛琳娜
No.72,拯救大兵瑞恩 Saving Private Ryan,史蒂文·斯皮尔伯格,罗伯特·罗达特,汤姆·汉克斯/汤姆·塞兹摩尔/爱德华·伯恩斯/巴里·佩珀/亚当·戈德堡/范·迪塞尔/吉奥瓦尼·瑞比西/杰瑞米·戴维斯/马特·达蒙/特德·丹森/保罗·吉亚玛提/丹尼斯·法里纳/马克斯·马蒂尼/丹兰·布鲁诺/安德鲁·斯科特,剧情/历史/战争,1998-07-24(美国),169分钟,8.9,247583, 美国, 英语 / 法语 / 德语 / 捷克语, 雷霆救兵(港) / 抢救雷恩大兵(台) / 拯救大兵雷恩
No.73,入殓师 おくりびと,泷田洋二郎,小山薰堂,本木雅弘/广末凉子/山崎努/吉行和子/笹野高史/余贵美子,剧情,2008-09-13(日本),130 分钟,8.8,327086, 日本, 日语, 礼仪师之奏鸣曲(港) / 礼仪师(台) / 送行者-礼仪师的乐章(台) / 为逝者送行的人 / 纳棺师 / Departures / Okuribito
No.75,玛丽和马克思 Mary and Max,亚当·艾略特,亚当·艾略特,托妮·科莱特/菲利普·塞默·霍夫曼/巴瑞·哈姆弗莱斯/艾瑞克·巴纳/贝塔尼·维特莫尔/蕾妮·盖耶/伊恩·莫利·梅尔德伦/克里斯托弗·马西/卡罗琳·莎士比亚-艾伦/琳恩·史密斯,剧情/动画,2009-01-15(圣丹斯电影节),92分钟,8.9,237635, 澳大利亚, 英语 / 依地语, 巧克力情缘(台) / 同是天涯寂寞客 / 玛丽与马克思 / 玛丽和麦克斯 / 玛丽和马克斯 / 玛丽和马科斯
No.76,让子弹飞,姜文,朱苏进/述平/姜文/郭俊立/危笑/李不空/马识途,姜文/葛优/周润发/刘嘉玲/陈坤/张默/姜武/周韵/廖凡/姚橹/邵兵/苗圃/冯小刚/胡军/马珂/白冰/杜奕衡/李静/胡明/危笑/杨奇雨/赵铭,剧情/喜剧/动作/西部,2010-12-16(中国大陆),132分钟,8.7,643491, 中国大陆 / 香港, 汉语普通话 / 四川话 / 山西话, 让子弹飞一会儿 / 火烧云 / Let The Bullets Fly
No.77,春光乍泄 春光乍洩,王家卫,王家卫,张国荣/梁朝伟/张震,剧情/爱情/同性,1997-05-30(香港),96分钟,8.8,255916, 香港 / 日本 / 韩国, 粤语 / 汉语普通话 / 西班牙语, 一起快乐 / Happy Together
No.78,心灵捕手 Good Will Hunting,格斯·范·桑特,本·阿弗莱克/马特·达蒙,马特·达蒙/罗宾·威廉姆斯/本·阿弗莱克/斯特兰·斯卡斯加德/明妮·德里弗/卡西·阿弗莱克/科尔·豪瑟/John Mighton/Rachel Majorowski/Colleen McCauley/Matt Mercier/Ralph St. George/Rob Lynds/Dan Washington/Alison Folland,剧情,1997-12-05(美国),126 分钟,8.8,280715, 美国, 英语, 骄阳似我(港)
No.79,大闹天宫,万籁鸣/唐澄,李克弱/万籁鸣,邱岳峰/富润生/毕克/尚华/于鼎/李梓/刘广宁,动画/奇幻,1961(中国大陆),114分钟,9.2,103679, 中国大陆, 汉语普通话, 大闹天宫 上下集 / The Monkey King / Havoc in Heaven
No.80,幽灵公主 もののけ姫,宫崎骏,宫崎骏,松田洋治/石田百合子/田中裕子/小林薰/西村雅彦/上条恒彦/岛本须美/渡边哲/佐藤允/名古屋章/美轮明宏/森光子/森繁久弥,动作/爱情/动画/战争/奇幻/冒险,1997-07-12(日本),134分钟,8.8,242874, 日本, 日语, 魔法公主 / 幽灵少女 / 物之怪姬 / Mononoke-hime / Princess Mononoke
No.81,阳光灿烂的日子,姜文,姜文/王朔,夏雨/宁静/陶虹/耿乐/斯琴高娃/冯小刚/姜文/王学圻/王朔/尚楠/方化/代少波/王海/姚二嘎/吴淑昆/左小青,剧情,1995-08-21(中国大陆),134分钟(中国大陆),8.7,279404, 中国大陆 / 香港, 汉语普通话, In the Heat of the Sun
No.82,第六感 The Sixth Sense,M·奈特·沙马兰,M·奈特·沙马兰,布鲁斯·威利斯/海利·乔·奥斯蒙/托妮·科莱特/奥莉维亚·威廉姆斯/唐尼·沃尔伯格/特拉沃·摩根/彼得·安东尼·唐伯蒂斯/格伦·菲茨杰拉德/米莎·巴顿/Lisa Summerour/法尔德斯·巴姆/杰弗里·泽布尼斯,剧情/悬疑/惊悚,1999-08-06(美国),107分钟,8.8,241790, 美国, 英语 / 拉丁语 / 西班牙语, 灵异第六感 / 鬼眼
No.83,重庆森林 重慶森林,王家卫,王家卫,林青霞/金城武/梁朝伟/王菲/周嘉玲,剧情/爱情,1994-07-14(香港),102分钟,8.7,340919, 香港, 粤语 / 汉语普通话 / 英语 / 印地语 / 日语, Chungking Express
No.84,看不见的客人 Contratiempo,奥里奥尔·保罗,奥里奥尔·保罗,马里奥·卡萨斯/阿娜·瓦格纳/何塞·科罗纳多/巴巴拉·莱涅/弗兰塞斯克·奥雷利亚/帕科·图斯/大卫·塞尔瓦斯/伊尼戈·加斯特西/圣·耶拉莫斯/马内尔·杜维索/布兰卡·马丁内斯/佩雷·布拉索/霍尔迪·布鲁内特/鲍比·冈萨雷斯/玛蒂娜·乌尔塔多,剧情/悬疑/惊悚/犯罪,2017-09-15(中国大陆),106分钟,8.7,309347, 西班牙, 西班牙语, 佈局(台) / 死无对证(港) / The Invisible Guest
No.85,大鱼 Big Fish,蒂姆·波顿,Daniel Wallace/约翰·奥古斯特,伊万·麦克格雷格/阿尔伯特·芬尼/比利·克鲁德普/杰西卡·兰格/海伦娜·伯翰·卡特/艾莉森·洛曼/罗伯特·吉尔劳姆/玛丽昂·歌迪亚/马修·麦克格罗里/大卫·丹曼/米西·派勒/卢顿·万恩怀特三世/艾达·泰/艾伦妮·泰/史蒂夫·布西密/丹尼·德维托/迪普·罗伊/海利·安妮·内尔森,剧情/家庭/奇幻/冒险,2003-12-04(纽约首映),125 分钟,8.7,259845, 美国, 英语 / 法语 / 俄语 / 粤语 / 汉语普通话, 大鱼奇缘(港) / 大智若鱼(台) / 大鱼老爸
No.86,禁闭岛 Shutter Island,马丁·斯科塞斯,莱塔·卡罗格里迪斯/丹尼斯·勒翰,莱昂纳多·迪卡普里奥/马克·鲁弗洛/本·金斯利/马克斯·冯·叙多夫/米歇尔·威廉姆斯/艾米莉·莫迪默/派翠西娅·克拉克森/杰基·厄尔·哈利/泰德·拉文/约翰·卡洛·林奇/伊莱亚斯·科泰斯/罗宾·巴特利特/克里斯托弗·邓汉/约瑟夫·斯科拉,剧情/悬疑/惊悚,2010-02-13(柏林电影节),138 分钟,8.6,370720, 美国, 英语 / 德语, 不赦岛(港) / 隔离岛(台) / 孤岛疑云 / 荒岛追凶 / 孤岛恐慌 / 关门岛 / 孤岛 / 艾什克里夫
No.87,末代皇帝 The Last Emperor,贝纳尔多·贝托鲁奇,贝纳尔多·贝托鲁奇/马克·派普罗,尊龙/陈冲/彼得·奥图尔/英若诚/黄自强/丹尼斯·邓恩/坂本龙一/马吉·汉/里克·扬/邬君梅/田川洋行/苟杰德/理查德·吴/皱缇格/陈凯歌/吴涛/卢燕/亨利·欧/陈述/樊光耀/鲍皓昕/黄文捷/邵茹贞/亨利·基/张良斌/梁冬/康斯坦丁·格雷戈里/黄汉琪/王涛/宋怀桂,剧情/传记/历史,1987-10-04(东京国际电影节),163分钟,8.9,174002, 意大利 / 中国大陆 / 英国 / 法国, 英语 / 汉语普通话 / 日语 / 俄语, 末代皇帝溥仪(港)
No.88,射雕英雄传之东成西就 射鵰英雄傳之東成西就,刘镇伟,刘镇伟,梁朝伟/林青霞/张国荣/叶玉卿/张学友/王祖贤/张曼玉/梁家辉/刘嘉玲/钟镇涛/鲍起静,喜剧/古装,1993-02-05(香港),113分钟(香港),8.7,283655, 香港, 粤语, 东成西就 / 大英雄 (日本) / The Eagle Shooting Heroes
No.89,狩猎 Jagten,托马斯·温特伯格,托马斯·温特伯格/托比亚斯·林道赫姆,麦斯·米科尔森/托玛斯·博·拉森/安妮卡·韦德科普/拉塞·福格尔斯特伦/苏西·沃德/安妮·路易丝·哈辛/拉斯·兰特/亚历山德拉·拉帕波特,剧情,2012-05-20(戛纳电影节),115分钟,9.0,133174, 丹麦 / 瑞典, 丹麦语 / 英语 / 波兰语, 谎言的烙印(台) / 诬网(港) / 捕猎 / The Hunt
No.90,甜蜜蜜,陈可辛,岸西,黎明/张曼玉/杨恭如/曾志伟/杜可风/张同祖/诸慧荷/丁羽,剧情/爱情,2015-02-13(中国大陆),118分钟(中国大陆),8.8,238632, 香港, 粤语 / 汉语普通话 / 英语, Comrades: Almost a Love Story
No.91,一一,杨德昌,杨德昌,吴念真/李凯莉/金燕玲/张洋洋/萧淑慎/尾形一成/陈希圣/林孟瑾/陈以文/柯宇纶/张育邦/柯素云/唐如韫/徐淑媛/曾心怡/陶传正,剧情/爱情/家庭,2000-05-14(戛纳电影节),173分钟,8.9,160594, 台湾 / 日本, 汉语普通话 / 闽南语 / 福建话 / 英语 / 日语, Yi yi / Yi yi: A One and a Two
No.92,阳光姐妹淘 써니,姜炯哲,姜炯哲,沈恩京/闵孝琳/姜素拉/南宝拉/陈熙京/金时厚/柳好贞/朴真珠/金宝美/千禹熙/李璟荣,剧情/喜剧,2011-05-04(韩国),124分钟,8.8,276570, 韩国, 韩语, 阳光姊妹淘(港) / 桑尼 / 阳光 / 永远的七公主 / Sunny
No.93,致命ID Identity,詹姆斯·曼高德,Michael Cooney,约翰·库萨克/雷·利奥塔/阿曼达·皮特/阿尔弗雷德·莫里纳/克里·杜瓦尔,剧情/悬疑/惊悚,2003-04-25(美国),90分钟,8.6,327895, 美国, 英语, 杀人游戏 / 致命身份
No.94,布达佩斯大饭店 The Grand Budapest Hotel,韦斯·安德森,韦斯·安德森/雨果·吉尼斯/斯蒂芬·茨威格,拉尔夫·费因斯/托尼·雷沃罗利/艾德里安·布洛迪/威廉·达福/裘德·洛/爱德华·诺顿/西尔莎·罗南/蒂尔达·斯文顿/比尔·默瑞/蕾雅·赛杜/欧文·威尔逊/詹森·舒瓦兹曼/马修·阿马立克/F·默里·亚伯拉罕/汤姆·威尔金森/杰夫·高布伦/哈威·凯特尔,剧情/喜剧,2014-02-06(柏林电影节),99分钟,8.7,320752, 美国 / 德国 / 英国, 英语 / 法语 / 德语, 布达佩斯大酒店(港) / 欢迎来到布达佩斯大饭店(台)
No.95,上帝之城 Cidade de Deus,卡迪亚·兰德/费尔南多·梅里尔斯,布罗里欧·曼托伐尼/Paulo Lins,亚历桑德雷·罗德里格斯/莱安德鲁·菲尔米诺/菲利佩·哈根森/道格拉斯·席尔瓦/乔纳森·哈根森/马修斯·纳克加勒/索·豪黑/艾莉丝·布拉加,剧情/犯罪,2002-05-18(戛纳电影节),130分钟,8.9,161558, 巴西 / 法国, 葡萄牙语, 无主之城 (港) / 无法无天 (台) / City of God
No.96,告白,中岛哲也,中岛哲也/凑佳苗,松隆子/冈田将生/木村佳乃/西井幸人/桥本爱/芦田爱菜/三吉彩花/藤原薰/井之胁海/清水尚弥/高桥努/一井直树/能年玲奈/新井浩文/野本萤,剧情/惊悚,2010-06-05(日本),106分钟,8.7,351815, 日本, 日语, 自白 / 母亲 / Kokuhaku / Confessions
No.97,断背山 Brokeback Mountain,李安,拉里·麦克穆特瑞/Diana Ossana/安妮·普鲁,希斯·莱杰/杰克·吉伦哈尔/米歇尔·威廉姆斯/安妮·海瑟薇/凯特·玛拉/兰迪·奎德/琳达·卡德里尼/安娜·法瑞丝/格拉汉姆·贝克尔/斯科特·迈克尔·坎贝尔/大卫·哈伯/Roberta Maxwell/皮特·麦克罗比,剧情/爱情/同性/家庭,2005-09-02(威尼斯电影节),134分钟,8.6,327852, 美国 / 加拿大, 英语, 断臂山
No.98,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,克里斯·哥伦布,史蒂夫·克洛夫斯/J·K·罗琳,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/艾伦·瑞克曼/玛吉·史密斯/汤姆·费尔顿/伊恩·哈特/理查德·哈里斯/约翰·赫特/罗彼·考特拉尼/朱丽·沃特斯/邦妮·怀特/约翰·克立斯/肖恩·比格斯代夫,奇幻/冒险,2002-01-26(中国大陆),152分钟,8.7,264105, 美国 / 英国, 英语, 哈利波特1：神秘的魔法石(港/台) / 哈1 / Harry Potter and the Philosopher's Stone
No.99,加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,戈尔·维宾斯基,泰德·艾略特/特里·鲁西奥/斯图尔特·贝亚蒂耶/Jay Wolpert,约翰尼·德普/杰弗里·拉什/奥兰多·布鲁姆/凯拉·奈特莉/杰克·达文波特/乔纳森·普雷斯,动作/奇幻/冒险,2003-11-21(中国大陆),143 分钟,8.6,354250, 美国, 英语, 加勒比海盗1：黑珍珠号的诅咒 / 神鬼奇航：鬼盗船魔咒(台) / 魔盗王：决战鬼盗船 / 海盗船
No.100,猫鼠游戏 Catch Me If You Can,史蒂文·斯皮尔伯格,杰夫·内桑森,莱昂纳多·迪卡普里奥/汤姆·汉克斯/克里斯托弗·沃肯/马丁·辛/艾米·亚当斯/詹妮弗·加纳/伊丽莎白·班克斯/纳塔莉·贝伊/詹姆斯·布洛林/艾伦·旁派/南希·利内翰/布莱恩·豪威 /弗兰克·约翰·休斯/克里斯·埃里斯,剧情/传记/犯罪,2002-12-16(洛杉矶首映),141 分钟,8.7,232317, 美国 / 加拿大, 英语 / 法语, 逍遥法外 / 神鬼交锋(台) / 捉智双雄(港) / 我知道你是谁 / 有种来抓我
No.101,摩登时代 Modern Times,查理·卓别林,查理·卓别林,查理·卓别林/宝莲·高黛/亨利·伯格曼/Tiny Sandford/切斯特·康克林,剧情/喜剧/爱情,1936-02-25(美国),87 分钟,9.2,91634, 美国, 英语, The Masses / Temps modernes Les
No.102,爱在黎明破晓前 Before Sunrise,理查德·林克莱特,理查德·林克莱特/金·克里桑,伊桑·霍克/朱莉·德尔佩/安德莉亚·埃克特/汉诺·波西尔/Karl Bruckschwaiger,剧情/爱情,1995-01-27(美国),101分钟,8.7,226276, 美国 / 奥地利 / 瑞士, 英语 / 德语 / 法语, 情留半天(港) / 爱在黎明破晓时(台) / 日出之前
No.103,阿凡达 Avatar,詹姆斯·卡梅隆,詹姆斯·卡梅隆,萨姆·沃辛顿/佐伊·索尔达娜/西格妮·韦弗/史蒂芬·朗/米歇尔·罗德里格兹/乔·大卫·摩尔 /吉奥瓦尼·瑞比西,动作/科幻/奇幻/冒险,2010-01-04(中国大陆),162 分钟,8.6,540253, 美国 / 英国, 英语 / 西班牙语, 天神下凡 / 化身 / 异次元战神 / 神之化身
No.104,穿条纹睡衣的男孩 The Boy in the Striped Pajamas,马克·赫尔曼,马克·赫尔曼/约翰·伯恩,阿萨·巴特菲尔德/维拉·法米加/大卫·休里斯/杰克·塞隆/鲁伯特·弗兰德/谢拉·汉考克/大卫·海曼/贝拉·费斯彼姆,剧情/战争,2008-09-12(英国),94 分钟,8.9,150059, 英国 / 美国, 英语, 穿条纹衣服的男孩 / 穿条纹衣的男孩
No.105,风之谷 風の谷のナウシカ,宫崎骏,宫崎骏,岛本须美/松田洋治/榊原良子/辻村真人/京田尚子/纳谷悟郎/永井一郎/宫内幸平/八奈见乘儿/矢田稔/富永美伊奈/家弓家正/吉田理保子/菅谷政子/坂本千夏/鳕子/麦人/大塚芳忠,科幻/动画/奇幻/冒险,1992-05(中国大陆),117分钟,8.8,180530, 日本, 日语, 风谷少女 / Kaze no tani no Naushika / Nausicaä of the Valley of the Wind
No.106,爱在日落黄昏时 Before Sunset,理查德·林克莱特,理查德·林克莱特/朱莉·德尔佩/伊桑·霍克/金·克里桑,伊桑·霍克/朱莉·德尔佩/弗农·多布切夫,剧情/爱情,2004-02-10(柏林电影节),80 分钟,8.7,203270, 美国, 英语 / 法语, 日落巴黎(港) / 爱在日落巴黎时(台) / 日落之前 / 情留相逢时 / 爱在日落余晖时 / 爱在日落黄昏前
No.107,消失的爱人 Gone Girl,大卫·芬奇,吉莉安·弗琳,本·阿弗莱克/裴淳华/尼尔·帕特里克·哈里斯/凯莉·库恩/泰勒·派瑞/金·迪肯斯/米西·派勒/波伊德·霍布鲁克/艾米丽·拉塔科斯基/雪拉·渥德/派屈克·福吉特/斯科特·麦克纳里/凯西·威尔逊/李·诺里斯,剧情/悬疑/惊悚/犯罪,2014-09-26(纽约电影节),149分钟,8.7,364379, 美国, 英语, 失踪的女孩 / 失踪女孩 / 失踪罪(港) / 控制(台)
No.108,侧耳倾听 耳をすませば,近藤喜文,宫崎骏/柊葵,本名阳子/小林桂树/高山南/高桥一生/山下容莉枝/室井滋/露口茂/饭冢雅弓,剧情/爱情/动画/音乐,1995-07-15(日本),111分钟,8.8,172444, 日本, 日语 / 英语, 心之谷 / 梦幻街少女 / Whisper of the Heart / Mimi wo sumaseba
No.109,萤火虫之墓 火垂るの墓,高畑勋,高畑勋/野坂昭如,辰己努/白石绫乃/志乃原良子/山口朱美/端田宏三,剧情/动画/战争,1988-04-16(日本),89 分钟,8.7,207910, 日本, 日语, 再见萤火虫(港) / 萤火挽歌 / 火帘之墓 / Hotaru no haka / Tombstone for Fireflies / Grave of the Fireflies / Tomb of the Fireflies
No.110,超脱 Detachment,托尼·凯耶,卡尔·隆德,艾德里安·布洛迪/马西娅·盖伊·哈登/詹姆斯·肯恩/克里斯蒂娜·亨德里克斯/刘玉玲/布莱思·丹纳/蒂姆·布雷克·尼尔森/威廉·彼德森/布莱恩·科兰斯顿/萨米·盖尔/Louis Zorich/小伊塞亚·维特洛克,剧情,2011-04-25(翠贝卡电影节),97分钟,8.8,176151, 美国, 英语, 人间师格(台)
No.111,驯龙高手 How to Train Your Dragon,迪恩·德布洛斯/克里斯·桑德斯,威廉姆·戴维斯/迪恩·德布洛斯/克里斯·桑德斯/葛蕾熙达·柯维尔,杰伊·巴鲁切尔/杰拉德·巴特勒/克雷格·费格森/亚美莉卡·费雷拉/乔纳·希尔/克里斯托夫·梅兹-普莱瑟/T·J·米勒/克里斯汀·韦格/罗宾·阿特金·唐斯/菲利普·麦格雷德/基隆·埃利奥特/阿什利·詹森/大卫·田纳特,喜剧/动画/家庭/奇幻/冒险,2010-05-14(中国大陆),98分钟,8.7,290777, 美国, 英语, 驯龙记(港)
No.112,倩女幽魂,程小东,阮继志,张国荣/王祖贤/午马/刘兆铭/林威/薛芷伦/胡大为/王晶,剧情/爱情/武侠/古装,2011-04-30(中国大陆),98分钟(香港),8.6,258032, 香港, 粤语, 倩女幽魂(87版) / A Chinese Ghost Story
No.113,红辣椒 パプリカ,今敏,水上清资/今敏/筒井康隆,林原惠美/古谷彻/江守彻/山寺宏一/堀胜之祐/大塚明夫/岩田光央/田中秀幸,科幻/动画/悬疑/惊悚,2006-09-02(威尼斯电影节),90 分钟,8.9,137414, 日本, 日语, 盗梦侦探 / 帕布莉卡 / Paprika
No.114,恐怖直播 더 테러 라이브,金秉祐,金秉祐,河正宇/李璟荣/全慧珍/李大为,剧情/悬疑/犯罪,2013-07-31(韩国),97分钟,8.7,225123, 韩国, 韩语, 死亡“动”新闻(港) / 恐怖攻击直播(台) / The Terror Live / 90 Minutes of Terror
No.115,摔跤吧！爸爸 Dangal,涅提·蒂瓦里,比于什·古普塔/施热亚·简/尼基尔·麦罗特拉/涅提·蒂瓦里,阿米尔·汗/法缇玛·萨那·纱卡/桑亚·玛荷塔/阿帕尔夏克提·库拉那/沙克希·坦沃/塞伊拉·沃西/苏哈妮·巴特纳格尔/里特维克·萨霍里/吉里什·库卡尼,剧情/家庭/传记/运动,2017-05-05(中国大陆),161分钟(印度),9.1,452067, 印度, 印地语, 我和我的冠军女儿(台) / 打死不离3父女(港) / 摔跤吧！老爸 / 摔跤家族 / दंगल / Wrestling Competition
No.116,菊次郎的夏天 菊次郎の夏,北野武,北野武,北野武/关口雄介/岸本加世子/グレート義太夫/井手博士/磨赤儿/大家由祐子/细川典江/今村鼠/田中要次,剧情/喜剧,1999-05-20(戛纳电影节),121 分钟,8.7,185570, 日本, 日语, Kikujirô no natsu / Kikujiro
No.117,幸福终点站 The Terminal,史蒂文·斯皮尔伯格,安德鲁·尼科尔/萨沙·杰瓦西 /杰夫·内桑森,汤姆·汉克斯/凯瑟琳·泽塔-琼斯/斯坦利·图齐/齐·麦克布赖德/迭戈·卢纳/巴里·沙巴卡·亨利/库玛·帕拉纳/佐伊·索尔达娜/Eddie Jones/祖德·塞克利拉/科瑞·雷诺兹/古列雷莫·迪亚兹/Rini Bell/瓦列里·尼古拉耶夫/迈克尔·诺里,剧情/喜剧/爱情,2005-01-14(中国大陆),128 分钟,8.6,228897, 美国, 英语 / 俄语 / 法语 / 保加利亚语, 机场客运站(港) / 航站情缘(台) / 航站奇缘 / 单程机票航站奇缘 / 候机楼 / 单程机票 / 爱你无国界
